_unit_id;_created_at;_trust;_country;followup1;how_natural;other1;followup1_gold;how_natural_gold;language;length;mop;other1_gold;rating_list;text;;
1262467776;6/15/2017 11:31:58;1.0;CAN;5;3;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 11:54:26;0.9174;AUS;6;2;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 11:54:27;0.6312;GBR;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 12:04:57;0.699;GBR;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 12:06:31;0.7371;USA;6;3;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 12:06:55;0.7784;USA;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 12:28:26;0.5262;USA;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 12:34:24;0.5856;USA;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 12:40:41;0.7589;GBR;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 12:50:54;0.7768;USA;6;2;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 12:52:40;0.7895;USA;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 13:25:40;0.5673;USA;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 13:25:45;0.5811;USA;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 13:57:39;0.7525;USA;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 14:01:44;0.7112;CAN;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 14:07:02;0.3135;GBR;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 14:10:43;0.7032;CAN;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 14:31:40;0.7974;CAN;5;2;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 14:50:45;0.7779;GBR;;4;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467776;6/15/2017 15:15:33;0.8207;USA;6;3;;;;en;10;MOP4;;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;;
1262467789;6/18/2017 12:22:41;0.8025;USA;;4;;;;en;12;MOP4;;3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;;
1262467789;6/18/2017 12:59:10;0.8348;USA;9;3;;;;en;12;MOP4;;3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;;
1262467789;6/18/2017 18:40:16;0.5566;USA;;4;;;;en;12;MOP4;;3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;;
1262467789;6/18/2017 19:03:59;0.7861;USA;;4;;;;en;12;MOP4;;3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;;
1262467789;6/18/2017 22:16:21;0.74;CAN;;4;;;;en;12;MOP4;;3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;;
1262467789;6/18/2017 23:58:32;0.8056;CAN;;4;;;;en;12;MOP4;;3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;;
1262467789;6/19/2017 07:33:08;0.5838;USA;;4;;;;en;12;MOP4;;3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;;
1262467789;6/19/2017 07:43:45;0.751;CAN;5;3;;;;en;12;MOP4;;3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;;
1262467789;6/19/2017 10:55:04;0.7058;AUS;;4;;;;en;12;MOP4;;3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;;
1262467792;6/16/2017 03:28:50;0.7951;CAN;6;3;;;;en;8;MOP4;;2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;and is currently held by two Labour Councillors .;;
1262467792;6/16/2017 08:07:04;0.7114;CAN;11;2;sentence fragment;;;en;8;MOP4;;2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;and is currently held by two Labour Councillors .;;
1262467792;6/16/2017 21:00:35;0.6926;USA;8;2;;;;en;8;MOP4;;2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;and is currently held by two Labour Councillors .;;
1262467792;6/16/2017 23:26:21;0.7982;CAN;5;1;;;;en;8;MOP4;;2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;and is currently held by two Labour Councillors .;;
1262467792;6/17/2017 04:18:23;0.8096;CAN;6;2;;;;en;8;MOP4;;2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;and is currently held by two Labour Councillors .;;
1262467792;6/17/2017 07:20:35;0.7367;USA;7;3;;;;en;8;MOP4;;2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;and is currently held by two Labour Councillors .;;
1262467792;6/17/2017 09:55:26;0.4843;GBR;6;3;;;;en;8;MOP4;;2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;and is currently held by two Labour Councillors .;;
1262467792;6/17/2017 10:50:52;0.7456;GBR;6;2;;;;en;8;MOP4;;2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;and is currently held by two Labour Councillors .;;
1262467792;6/17/2017 17:27:59;0.208;IRL;;4;;;;en;8;MOP4;;2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;and is currently held by two Labour Councillors .;;
1262467792;6/17/2017 18:15:59;0.18;USA;;4;;;;en;8;MOP4;;2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;and is currently held by two Labour Councillors .;;
1262467792;6/17/2017 18:35:04;0.3206;USA;;4;;;;en;8;MOP4;;2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;and is currently held by two Labour Councillors .;;
1262467794;6/15/2017 11:51:09;0.6312;GBR;8;3;;;;en;14;MOP4;;4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2;As of November 2013 , Murkudis is now longer with Closed due to creative differences .;;
1262467794;6/15/2017 12:02:02;0.699;GBR;8;2;;;;en;14;MOP4;;4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2;As of November 2013 , Murkudis is now longer with Closed due to creative differences .;;
1262467794;6/15/2017 12:02:26;0.7371;USA;;4;;;;en;14;MOP4;;4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2;As of November 2013 , Murkudis is now longer with Closed due to creative differences .;;
1262467794;6/15/2017 12:03:48;0.7784;USA;10;3;;;;en;14;MOP4;;4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2;As of November 2013 , Murkudis is now longer with Closed due to creative differences .;;
1262467794;6/15/2017 12:24:49;0.5262;USA;;4;;;;en;14;MOP4;;4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2;As of November 2013 , Murkudis is now longer with Closed due to creative differences .;;
1262467794;6/15/2017 12:30:29;0.5856;USA;;4;;;;en;14;MOP4;;4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2;As of November 2013 , Murkudis is now longer with Closed due to creative differences .;;
1262467794;6/15/2017 12:30:30;0.5817;USA;8;2;;;;en;14;MOP4;;4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2;As of November 2013 , Murkudis is now longer with Closed due to creative differences .;;
1262467794;6/15/2017 12:38:01;0.7895;USA;9;1;;;;en;14;MOP4;;4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2;As of November 2013 , Murkudis is now longer with Closed due to creative differences .;;
1262467794;6/15/2017 12:48:54;0.7768;USA;8;3;;;;en;14;MOP4;;4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2;As of November 2013 , Murkudis is now longer with Closed due to creative differences .;;
